id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href
1,"Bán Vespa Sprint 125cc 2024 xanh dương, xe đẹp 95%",66.000.000 đ,72.53 tr,85.14 tr,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","Bán xe #Vespa Sprint 125cc. Mua mới tại #Topcom 01/2024, Xe chính chủ. Chạy được 14.000km. Giá: 66tr(TL). Anh/chị quan tâm nhắn Zalo số: ***. Công chứng Hợp đồng mua bán trong ngày.",Piaggio,Vespa,2024,14000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125109338.htm
2,🔥🔥SH 150i Thắng ABS 2019 BSTP Chính Chủ,79.500.000 đ,62.76 tr,73.68 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","_Bán SH 150i Thắng ABS 2019 Xám Bạc, Úp Team Xám Xi Măng.
_Xe nhà sử dụng kỹ ít đi, chính chủ, biển số thành phố
_Xe mới keng, Máy móc nguyên zin, êm bốc, ae qua xe xem test thoải mái
_Mua bán tại nhà, sang tên ký giấy 1 nốt nhạc
_Xem Xe Tại Nhà Tân Sơn Nhì, P Tân Sơn Nhì , Q Tân Phú",Honda,SH,2019,28000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/124979025.htm
3,CC Vision Thể Thao 2023 Đen+bộ đèn Demi audi A7,37.000.000 đ,28 tr,32.86 tr,"Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh","Chính chủ bán Vision phiên bản Thể Thao 2023 Đen
Xe mua chính hãng tháng 10/2023, bảo dưỡng đầy đủ, xe gia đình đi giữ gìn.
Xe đã độ lên đèn Demi led audi A7 và Đèn hậu led audi A7 (giá thị trường 5tr)
(còn nguyên đèn mới zin theo xe)
Liên hệ chính chủ 09xau xau 5 7 năm 3 sáu 7",Honda,Vision,2023,12000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125168772.htm
4,Vespa Sprint 2019 -125- Đen Đỏ Sport -CHÍNH CHỦ,45.000.000 đ,43.1 tr,50.6 tr,"Phường Bến Nghé, Quận 1, Tp Hồ Chí Minh","XE CÁ NHÂN BÁN - XE DO EM ĐỨNG TÊN CHÍNH CHỦ.
Chi Tiết hình ảnh xe đã có đủ. Cần thì liên hệ em.
Sản phẩm theo xe zin còn ( Kính, Bao tay, cảng sau, Chìa khóa còn đủ )
CÓ FIX THÊM CHO ANH CHỊ VỀ SƠN DẬM LẠI.
Xem xe chi tiết Quận 1.
liên hệ trao đổi qua GIÀLÔ: Không 933940 bốn ba hai.",Piaggio,Vespa,2019,60000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125127815.htm
5,Xe tay ga Yamaha Latte 125 – Đăng ký 2021,23.000.000 đ,17.02 tr,19.98 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","🛵 Thông tin xe:

Dòng xe tay ga cao cấp Yamaha Latte 125, máy mạnh, tiết kiệm xăng.

Màu đen nhám phối yên nâu.

Xe thuộc phiên bản cao cấp có hệ thống Stop & Start System, giúp tiết kiệm nhiên liệu và giảm khí thải.

Odo hiện tại hơn 24.000 km – bảo dưỡng đều, máy móc vẫn rất ổn định.

Đăng ký lần đầu: tháng 3/2021

Máy zin, đề nhạy, vận hành êm

Cốp xe rộng, tiện để nón, túi xách

Bánh còn tốt, phanh an toàn, đèn đóm đầy đủ

📍 Quận 1, TP.HCM, xem xe trực tiếp tại nhà theo hẹn
💰 Giá bán: 23 triệu",Yamaha,Latte,2021,24000,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125108206.htm
6,Xe hoc sinh di hoc nay có bằng lái muốn bán lại,7.500.000 đ,7.73 tr,9.08 tr,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh",Xe cup 50cc không cần bằng lái chay im không hao xăng đề 1 cái chạy,SYM,Elegant,2018,25000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125104958.htm
7,xe Air Blade 2013,16.000.000 đ,13.83 tr,16.24 tr,"Phường Nguyễn Cư Trinh, Quận 1, Tp Hồ Chí Minh","Xe Air Blade 2013, BST, số km: 80.000, xe mới fix, giá cả thương lượng thêm",Honda,Air Blade,2013,80000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125063854.htm
8,Bán Xe Wave HQ up dàn áo leng keng,7.300.000 đ,10.08 tr,11.83 tr,"Phường Phạm Ngũ Lão, Quận 1, Tp Hồ Chí Minh","Cục máy làm chạy nhẹ xe
dàn áo còn keng
bstp , bao tranh chấp , gtdd 09c
giá 7tr3 ( fix xăng cộ ae xem xe) 
Cô dì chú bán ae ưng ý thì kb zalo eml",Honda,Wave,2003,2,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125056634.htm
9,cần bán xe để đối xe nên để giá yêu thương,7.500.000 đ,6.97 tr,8.19 tr,"Phường Bến Thành, Quận 1, Tp Hồ Chí Minh","Xe chính chủ
xe chạy còn ngon 
máy mạnh
bị bể bửng trước 
LH:***",Yamaha,Sirius,2015,35000,Đã sử dụng,Xe số,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125045250.htm
10,Xe honda Lead 2020 BSTP bản giới hạn đèn Led,33.000.000 đ,27.45 tr,32.22 tr,"Phường Đa Kao, Quận 1, Tp Hồ Chí Minh","Mình đi xuất cảnh định cư nên cần bán chiếc xe honda LEAD 2020 BSTP xe nhà ít đi.bảo dưỡng đầy đủ nên xe còn rất mới.zin từ trong ra ngoài.nước sơn zin ko dặm tút.máy móc zin êm.chạy rất mạnh và nhẹ ga.xe này mua về là đi thôi.ko phải làm gì hết.xe sài smakey.còn đủ 2 kính.xe màu đỏ đô.tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe.mình là nguoi dùng bán.chứ ko phải cò lái.giấy tờ hợp pháp mua bán ra phòng công chứng,công chứng sang tên luôn.",Honda,Lead,2020,20000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-1-tp-ho-chi-minh/125036254.htm
