id,title,description,Dòng xe,description_cleaned,title_cleaned,content
1,"Bán Vespa Sprint 125cc 2024 xanh dương, xe đẹp 95%","Bán xe #Vespa Sprint 125cc. Mua mới tại #Topcom 01/2024, Xe chính chủ. Chạy được 14.000km. Giá: 66tr(TL). Anh/chị quan tâm nhắn Zalo số: ***. Công chứng Hợp đồng mua bán trong ngày.",Vespa,vespa sprint 125cc mua topcom 01 2024 chủ chạy 14.000 km giá 66tr trả_lời nhắn zalo công_chứng hợp_đồng mua_bán,vespa sprint 125cc 2024 xanh dương đẹp 95,vespa sprint 125cc mua topcom 01 2024 chủ chạy 14.000 km giá 66tr trả_lời nhắn zalo công_chứng hợp_đồng mua_bán vespa sprint 125cc 2024 xanh dương đẹp 95
2,🔥🔥SH 150i Thắng ABS 2019 BSTP Chính Chủ,"_Bán SH 150i Thắng ABS 2019 Xám Bạc, Úp Team Xám Xi Măng.
_Xe nhà sử dụng kỹ ít đi, chính chủ, biển số thành phố
_Xe mới keng, Máy móc nguyên zin, êm bốc, ae qua xe xem test thoải mái
_Mua bán tại nhà, sang tên ký giấy 1 nốt nhạc
_Xem Xe Tại Nhà Tân Sơn Nhì, P Tân Sơn Nhì , Q Tân Phú",SH,_bán sh 150i thắng abs 2019 xám bạc úp team xám xi_măng _xe kỹ đi chủ biển thành_phố _xe keng máy_móc nguyên zin êm bốc anh_em test thoải_mái _mua sang_tên ký giấy nốt_nhạc _xem tân sơn nhì tân sơn nhì tân_phú,sh 150i thắng abs 2019 bstp chủ,_bán sh 150i thắng abs 2019 xám bạc úp team xám xi_măng _xe kỹ đi chủ biển thành_phố _xe keng máy_móc nguyên zin êm bốc anh_em test thoải_mái _mua sang_tên ký giấy nốt_nhạc _xem tân sơn nhì tân sơn nhì tân_phú sh 150i thắng abs 2019 bstp chủ
3,CC Vision Thể Thao 2023 Đen+bộ đèn Demi audi A7,"Chính chủ bán Vision phiên bản Thể Thao 2023 Đen
Xe mua chính hãng tháng 10/2023, bảo dưỡng đầy đủ, xe gia đình đi giữ gìn.
Xe đã độ lên đèn Demi led audi A7 và Đèn hậu led audi A7 (giá thị trường 5tr)
(còn nguyên đèn mới zin theo xe)
Liên hệ chính chủ 09xau xau 5 7 năm 3 sáu 7",Vision,chủ vision phiên_bản thể_thao 2023 đen mua hãng 10 2023 bảo_dưỡng đầy_đủ gia_đình đi giữ_gìn độ lên_đèn demi led audi a7 đèn hậu led audi a7 giá thị_trường 5tr nguyên đèn zin liên_hệ chủ 09xau xau sáu,cc vision thể_thao 2023 đen đèn demi audi a7,chủ vision phiên_bản thể_thao 2023 đen mua hãng 10 2023 bảo_dưỡng đầy_đủ gia_đình đi giữ_gìn độ lên_đèn demi led audi a7 đèn hậu led audi a7 giá thị_trường 5tr nguyên đèn zin liên_hệ chủ 09xau xau sáu cc vision thể_thao 2023 đen đèn demi audi a7
4,Vespa Sprint 2019 -125- Đen Đỏ Sport -CHÍNH CHỦ,"XE CÁ NHÂN BÁN - XE DO EM ĐỨNG TÊN CHÍNH CHỦ.
Chi Tiết hình ảnh xe đã có đủ. Cần thì liên hệ em.
Sản phẩm theo xe zin còn ( Kính, Bao tay, cảng sau, Chìa khóa còn đủ )
CÓ FIX THÊM CHO ANH CHỊ VỀ SƠN DẬM LẠI.
Xem xe chi tiết Quận 1.
liên hệ trao đổi qua GIÀLÔ: Không 933940 bốn ba hai.",Vespa,đứ chủ chi_tiết hình nh liên_hệ sản_phẩm zin kính bao_tay chì fix anh_chị sơn dậm chi_tiết liên_hệ trao_đổi giàlô không 933940 bốn hai,vespa sprint 2019 125 đen đỏ sport chủ,đứ chủ chi_tiết hình nh liên_hệ sản_phẩm zin kính bao_tay chì fix anh_chị sơn dậm chi_tiết liên_hệ trao_đổi giàlô không 933940 bốn hai vespa sprint 2019 125 đen đỏ sport chủ
5,Xe tay ga Yamaha Latte 125 – Đăng ký 2021,"🛵 Thông tin xe:

Dòng xe tay ga cao cấp Yamaha Latte 125, máy mạnh, tiết kiệm xăng.

Màu đen nhám phối yên nâu.

Xe thuộc phiên bản cao cấp có hệ thống Stop & Start System, giúp tiết kiệm nhiên liệu và giảm khí thải.

Odo hiện tại hơn 24.000 km – bảo dưỡng đều, máy móc vẫn rất ổn định.

Đăng ký lần đầu: tháng 3/2021

Máy zin, đề nhạy, vận hành êm

Cốp xe rộng, tiện để nón, túi xách

Bánh còn tốt, phanh an toàn, đèn đóm đầy đủ

📍 Quận 1, TP.HCM, xem xe trực tiếp tại nhà theo hẹn
💰 Giá bán: 23 triệu",Latte,thông_tin dòng ga cao_cấp yamaha latte 125 máy tiết_kiệm xăng màu đen nhám phối yên nâu phiên_bản cao_cấp hệ_thống stop start system giúp tiết_kiệm nhiên_liệu khí_thải odo 24.000 km bảo_dưỡng máy_móc ổn_định đăng_ký đầu 2021 máy zin đề nhạy vận_hành êm cốp rộng tiện nón túi_xách bánh tốt phanh an_toàn đèn_đóm đầy_đủ tp hcm hẹn giá 23 triệu,ga yamaha latte 125 đăng_ký 2021,thông_tin dòng ga cao_cấp yamaha latte 125 máy tiết_kiệm xăng màu đen nhám phối yên nâu phiên_bản cao_cấp hệ_thống stop start system giúp tiết_kiệm nhiên_liệu khí_thải odo 24.000 km bảo_dưỡng máy_móc ổn_định đăng_ký đầu 2021 máy zin đề nhạy vận_hành êm cốp rộng tiện nón túi_xách bánh tốt phanh an_toàn đèn_đóm đầy_đủ tp hcm hẹn giá 23 triệu ga yamaha latte 125 đăng_ký 2021
6,Xe hoc sinh di hoc nay có bằng lái muốn bán lại,Xe cup 50cc không cần bằng lái chay im không hao xăng đề 1 cái chạy,Elegant,cup 50cc không lái chay im không hao xăng đề chạy,hoc sinh di_hoc lái,cup 50cc không lái chay im không hao xăng đề chạy hoc sinh di_hoc lái
7,xe Air Blade 2013,"Xe Air Blade 2013, BST, số km: 80.000, xe mới fix, giá cả thương lượng thêm",Air Blade,air blade 2013 bst km 80.000 fix giá_cả thương_lượng,air blade 2013,air blade 2013 bst km 80.000 fix giá_cả thương_lượng air blade 2013
8,Bán Xe Wave HQ up dàn áo leng keng,"Cục máy làm chạy nhẹ xe
dàn áo còn keng
bstp , bao tranh chấp , gtdd 09c
giá 7tr3 ( fix xăng cộ ae xem xe) 
Cô dì chú bán ae ưng ý thì kb zalo eml",Wave,cục máy chạy nhẹ dàn áo keng bstp bao tranh_chấp gtdd 09c giá 7tr3 fix xăng cộ anh_em anh_em ưng_ý kết_bạn zalo eml,wave hq up dàn áo leng_keng,cục máy chạy nhẹ dàn áo keng bstp bao tranh_chấp gtdd 09c giá 7tr3 fix xăng cộ anh_em anh_em ưng_ý kết_bạn zalo eml wave hq up dàn áo leng_keng
9,cần bán xe để đối xe nên để giá yêu thương,"Xe chính chủ
xe chạy còn ngon 
máy mạnh
bị bể bửng trước 
LH:***",Sirius,chủ chạy ngon máy_mạnh bể bửng lh,đối giá yêu_thương,chủ chạy ngon máy_mạnh bể bửng lh đối giá yêu_thương
10,Xe honda Lead 2020 BSTP bản giới hạn đèn Led,"Mình đi xuất cảnh định cư nên cần bán chiếc xe honda LEAD 2020 BSTP xe nhà ít đi.bảo dưỡng đầy đủ nên xe còn rất mới.zin từ trong ra ngoài.nước sơn zin ko dặm tút.máy móc zin êm.chạy rất mạnh và nhẹ ga.xe này mua về là đi thôi.ko phải làm gì hết.xe sài smakey.còn đủ 2 kính.xe màu đỏ đô.tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe.mình là nguoi dùng bán.chứ ko phải cò lái.giấy tờ hợp pháp mua bán ra phòng công chứng,công chứng sang tên luôn.",Lead,đi xuất_cảnh định_cư honda lead 2020 bstp đi bảo_dưỡng đầy_đủ zin sơn zin không dặm tút máy_móc zin êm chạy nhẹ ga mua đi không sài smakey kính màu đỏ đô phát_hiện chổ không zin dậm tút tặng không cò lái giấy_tờ hợp_pháp mua_bán phòng công_chứng công_chứng sang_tên,honda lead 2020 bstp giới_hạn đèn led,đi xuất_cảnh định_cư honda lead 2020 bstp đi bảo_dưỡng đầy_đủ zin sơn zin không dặm tút máy_móc zin êm chạy nhẹ ga mua đi không sài smakey kính màu đỏ đô phát_hiện chổ không zin dậm tút tặng không cò lái giấy_tờ hợp_pháp mua_bán phòng công_chứng công_chứng sang_tên honda lead 2020 bstp giới_hạn đèn led
