Thương hiệu,Dòng xe,Loại xe,Xuất xứ,Khoảng giá min,Khoảng giá max,Năm đăng ký,Số Km đã đi,Giá
13,52,1,7,72.53,85.14,2024,14000,66.0
8,42,1,7,62.76,73.68,2019,28000,79.5
8,53,1,7,28.0,32.86,2023,12000,37.0
13,52,1,7,43.1,50.6,2019,60000,45.0
17,13,1,2,17.02,19.98,2021,24000,23.0
14,14,2,7,7.73,9.08,2018,25000,7.5
8,2,1,6,13.83,16.24,2013,80000,16.0
8,54,2,7,10.08,11.83,2003,2,7.3
17,46,2,6,6.97,8.19,2015,35000,7.5
8,27,1,6,27.45,32.22,2020,20000,33.0
10,13,0,2,22.08,25.92,1980,99000,19.9
8,42,1,3,23.67,27.79,2005,8000,100.0
14,13,0,8,13.62,15.98,2016,10000,14.8
17,16,2,2,13.86,16.27,2014,20000,18.5
8,51,1,6,36.19,42.49,2024,900,37.0
9,13,1,7,3.91,4.59,2001,300000,6.0
8,2,1,2,36.71,43.1,2023,70000,11.0
8,10,2,4,42.75,50.19,2022,8600,83.0
8,51,1,6,30.13,35.37,2019,27000,33.0
13,52,1,3,25.09,29.45,2016,23000,30.0
8,42,1,3,40.61,47.67,2008,38000,65.0
8,53,1,6,26.31,30.89,2022,2642,29.9
8,54,2,6,8.28,9.73,2015,450000,9.0
8,54,2,6,7.94,9.32,2014,6000,15.0
8,7,0,3,72.21,84.76,2019,9999,31.999
9,13,0,3,322.0,378.0,2014,13000,350.0
8,57,0,6,16.51,19.38,2019,5000,19.0
8,41,1,5,5.96,6.99,2010,15000,7.0
15,23,1,2,3.6,4.23,2011,55000,4.3
17,16,0,2,28.79,33.8,2022,48364,32.0
8,54,2,6,10.39,12.2,2018,30000,12.5
8,42,1,6,74.57,87.54,2022,9500,87.0
9,13,1,3,8.99,10.55,2019,5000,43.0
14,3,1,2,3.11,3.66,2009,10000,3.2
13,59,1,6,13.05,15.32,2019,8000,21.0
8,42,1,2,65.71,77.13,2020,52000,70.0
8,54,2,5,16.31,19.14,2024,500,10.8
17,39,0,6,31.06,36.46,2019,20000,35.5
12,13,1,3,33.12,38.88,2021,1363,49.0
8,9,2,4,43.42,50.97,2015,25000,64.999999
8,27,1,6,7.98,9.37,2012,50000,11.5
8,13,2,6,24.04,28.22,2022,120000,23.0
8,1,2,6,8.25,9.68,2018,1,12.8
14,3,1,7,2.15,2.53,2004,40000,4.3
8,2,1,6,29.93,35.13,2020,80000,45.0
8,53,1,6,21.1,24.77,2019,46000,22.5
8,2,1,6,8.6,10.1,2009,51000,10.8
8,19,2,7,23.33,27.39,2021,15000,25.8
8,42,1,3,55.2,64.8,2017,999,140.0
8,2,1,7,20.71,24.32,2017,56688,12.0
17,32,1,2,20.0,23.47,2022,4900,25.99
8,13,0,2,13.7,16.08,2020,2,120.0
8,51,1,4,30.13,35.37,2019,27000,32.0
8,30,1,6,28.66,33.64,2023,3263,36.0
8,2,1,6,37.85,44.43,2024,1000,40.0
8,54,2,6,6.58,7.72,2011,23015,6.8
8,27,1,6,6.68,7.84,2010,92000,8.5
8,2,1,2,12.59,14.78,2010,9999,12.9
9,13,2,6,12.56,14.75,2024,8000,17.0
8,42,1,6,62.76,73.68,2019,35000,72.0
8,2,1,6,36.71,43.1,2023,11000,39.0
16,13,0,3,361.56,424.44,2024,8900,0.00037
17,24,1,7,19.35,22.71,2024,2400,26.0
8,10,2,2,7.2,8.45,1998,12000,9.2
8,51,1,3,30.13,35.37,2019,81000,1e-06
17,46,2,6,6.12,7.18,2010,40000,7.3
8,54,2,6,14.27,16.76,2023,5062,16.555555
14,3,1,6,2.7,3.17,2007,10000,3.0
9,13,0,6,10.63,12.48,2022,30,28.0
17,16,0,2,17.09,20.06,2018,26264,27.0
8,2,1,4,12.59,14.78,2010,12779,22.9
8,54,2,7,10.39,12.2,2018,25,9.2
8,10,2,2,8.23,9.66,1997,12000,11.0
8,42,1,3,23.67,27.79,2005,49000,35.5
13,52,1,6,6.74,7.91,2011,11000,9.0
8,54,2,2,7.27,8.54,2007,45000,8.0
8,27,1,7,27.45,32.22,2020,20000,27.5
8,27,1,6,35.87,42.11,2023,15000,39.0
8,42,1,2,78.55,92.21,2025,100000,18.0
8,27,1,6,27.45,32.22,2020,180000,29.5
8,19,2,6,23.33,27.39,2021,21000,26.5
8,54,2,6,14.1,16.55,2022,40000,17.0
9,13,1,8,12.56,14.75,2024,800,16.0
8,54,2,2,9.83,11.54,2017,25,8.6
8,42,1,6,65.71,77.13,2020,49530,75.0
8,54,2,2,6.93,8.14,2006,666666,9.5
17,16,0,6,28.55,33.51,2023,40000,4.0
14,15,1,2,4.32,5.07,2013,100000,2.5
8,54,2,2,12.85,15.09,2025,30,17.0
13,21,1,3,12.7,14.9,2009,50000,26.0
8,54,2,6,10.68,12.54,2005,15381,5.5
8,54,2,2,10.39,12.2,2018,39000,13.4
15,49,0,7,118.87,139.54,1998,15000,15.0
8,57,0,6,16.51,19.38,2019,44000,16.5
8,42,1,3,33.2,38.97,2007,71000,45.0
13,28,1,7,14.98,17.58,2016,30000,17.5
8,36,1,4,16.03,18.82,2011,25000,15.8
14,13,1,8,6.16,7.24,2014,32668,4.9
9,13,2,6,3.91,4.59,2001,50000,11.1
8,42,1,6,73.25,85.99,2023,10605,74.5
8,47,0,3,23.11,27.13,2020,47744,19.999999
8,36,1,4,16.53,19.4,2010,100000,16.5
8,13,1,2,9.2,10.8,2005,7000,10.5
8,2,1,6,10.02,11.76,2011,23,2.6
17,16,0,6,28.79,33.8,2022,280000,33.0
8,11,2,2,9.61,11.28,2000,12000,13.5
9,13,2,6,3.91,4.59,2001,150000,12.0
8,10,2,2,7.2,8.45,1998,12000,5.3
8,54,2,6,6.82,8.01,2008,62000,9.0
8,27,1,6,6.68,7.84,2010,40000,8.5
8,27,1,2,6.68,7.84,2010,30000,8.5
8,8,2,2,6.14,7.21,1980,19000,7.5
8,10,2,2,8.23,9.66,1997,12000,9.7
8,42,1,6,58.13,68.25,2018,29000,38.0
8,19,2,6,25.66,30.12,2010,60000,20.5
17,16,0,2,16.16,18.97,2015,65,17.0
15,13,1,2,7.12,8.36,2016,36688,7.3
8,53,1,7,26.31,30.89,2022,12000,31.0
8,13,0,2,10.12,11.88,2012,8850,50.0
9,13,1,3,21.39,25.11,1980,100,25.0
9,13,1,3,21.39,25.11,1980,50,30.0
8,27,1,7,23.96,28.12,2019,53000,24.0
8,2,1,7,20.71,24.32,2017,82288,12.0
17,16,0,6,16.16,18.97,2015,28500,18.0
17,33,1,2,5.1,5.98,2012,9435,6.5
8,42,1,2,101.46,119.11,2012,90000,35.0
13,52,1,3,43.1,50.6,2019,12000,55.0
8,51,1,6,32.11,37.7,2021,10000,20.0
8,2,1,7,8.99,10.56,2012,120000,12.0
8,54,2,7,7.65,8.98,2013,500000,7.9
17,33,1,3,6.14,7.21,2013,267890,9.0
9,13,0,6,8.99,10.55,2019,2216,29.0
8,2,1,2,8.99,10.56,2012,10000,11.5
8,27,1,7,7.98,9.37,2012,49,11.0
8,54,2,6,10.55,12.38,2002,100000,14.5
13,52,1,6,38.21,44.86,2018,16000,48.5
8,53,1,6,16.92,19.86,2017,55000,17.8
8,2,1,7,10.02,11.76,2011,21706,9.0
8,42,1,6,36.48,42.83,2014,12345,39.5
8,57,0,6,27.64,32.44,2024,6000,33.3
8,57,0,6,23.44,27.51,2022,45000,23.5
13,50,1,6,60.06,70.5,2022,27000,52.0
8,42,1,3,40.61,47.67,2008,70000,40.8
9,13,0,0,3.55,4.17,2010,3000,7.0
8,19,2,2,13.94,16.37,2001,59559,19.0
8,42,1,6,111.87,131.33,2011,20000,90.0
8,43,1,6,27.41,32.18,2015,28000,30.0
8,48,1,2,23.12,27.14,2001,85000,85.0
17,35,1,7,36.78,43.18,2022,22000,43.0
8,53,1,6,24.45,28.7,2021,39000,26.0
13,52,1,7,43.05,50.54,2022,15000,74.0
17,16,0,7,41.9,49.18,2010,54000,46.0
8,5,2,6,8.9,10.45,2017,23000,12.5
8,42,1,6,62.76,73.68,2019,50000,80.0
8,19,2,4,14.16,16.63,2000,12000,35.0
8,13,2,2,35.74,41.95,1998,70000,80.0
8,55,0,6,23.0,27.0,2022,10000,25.0
8,27,1,2,16.53,19.41,2016,100,6.0
13,52,1,6,19.01,22.32,2014,36000,20.0
17,39,0,6,31.1,36.51,2020,30000,43.0
8,5,1,6,8.24,9.67,2012,55431,10.0
17,32,1,6,6.08,7.14,2016,1,7.0
8,42,1,3,65.28,76.63,2009,50000,95.0
8,42,1,3,98.4,115.51,2010,50000,12.345678
13,52,1,6,38.21,44.86,2018,7523,47.0
8,2,1,7,19.98,23.46,2016,53983,25.0
9,13,1,6,5.95,6.98,2018,30000,3.9
13,52,1,7,8.59,10.08,2012,36000,11.8
15,13,0,2,18.22,21.39,2022,20000,13.0
8,55,0,7,3.4,4.0,2000,1000,7.5
17,16,2,7,14.51,17.04,2013,40000,21.0
8,27,1,7,7.98,9.37,2012,39,11.6
8,51,1,3,35.34,41.48,2023,22000,48.0
17,24,1,7,13.85,16.26,2018,35000,16.6
17,34,1,6,8.92,10.47,2013,37000,12.5
8,2,1,7,12.59,14.78,2010,31000,15.6
17,29,1,6,6.83,8.02,2013,33333,9.5
8,57,0,6,17.08,20.05,2020,17000,20.0
14,13,1,7,10.8,12.68,2019,7500,10.5
17,16,0,6,22.36,26.25,2020,36000,25.555555
8,53,1,7,16.92,19.86,2017,29,20.6
8,13,1,2,8.67,10.17,2007,10000,12.0
8,27,1,7,7.98,9.37,2012,31000,11.9
8,54,2,6,9.73,11.42,2016,80000,11.0
8,42,1,4,69.27,81.32,2021,601,86.0
8,2,1,7,12.59,14.78,2010,36000,15.3
8,53,1,6,21.1,24.77,2019,12000,24.0
8,2,1,7,8.99,10.56,2012,36000,12.6
8,2,1,6,19.98,23.46,2016,857000,21.5
8,2,1,7,36.71,43.1,2023,4,8.0
13,21,1,3,15.04,17.66,2007,36668,8.9
8,53,1,6,28.0,32.86,2023,15000,31.5
8,27,1,7,6.1,7.16,2009,30000,9.9
17,16,0,7,41.9,49.18,2010,10000,14.0
8,42,1,4,74.57,87.54,2022,11000,120.0
8,42,1,4,74.57,87.54,2022,700,87.0
8,2,1,2,8.99,10.56,2012,19000,8.3
10,13,2,2,55.2,64.8,2009,123,3.8
8,2,1,6,8.6,10.1,2009,32000,27.5
17,46,2,7,10.17,11.94,2021,24700,11.2
9,13,1,6,12.56,14.75,2024,1200,13.0
13,52,1,7,19.01,22.32,2014,30000,22.0
8,13,1,6,23.03,27.04,2019,12000,9.5
8,19,2,7,13.94,16.37,2001,16000,50.5
17,16,0,6,22.36,26.25,2020,35000,25.555555
8,54,2,0,6.82,8.01,2008,100,5.5
8,7,0,4,16.25,19.08,2011,20000,22.0
8,27,1,7,6.68,7.84,2010,39,10.0
8,2,1,2,12.59,14.78,2010,12345,10.7
8,7,0,4,16.25,19.08,2011,14000,28.0
8,42,1,6,69.27,81.32,2021,1000,88.0
